Live,Round,Date,Hour,Stadium,Capacity,TeamA,TeamB,CodeTeamA,TVCodeA,CodeTeamB,TVCodeB,imA,imB,ScoreA,ScoreB,CoachA,CoachB,GameTime,RemainingPartialTime,wid,Quarter,FoultsA,FoultsB,TimeoutsA,TimeoutsB,ScoreQuarter1A,ScoreQuarter2A,ScoreQuarter3A,ScoreQuarter4A,ScoreExtraTimeA,ScoreQuarter1B,ScoreQuarter2B,ScoreQuarter3B,ScoreQuarter4B,ScoreExtraTimeB,Phase,PhaseReducedName,Competition,CompetitionReducedName,pcom,Referee1,Referee2,Referee3
False,1,05/10/2023,19:00 ,STARK ARENA,18360,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,RED,CZV,ASV,ASV,RED       ,ASV       ,94,73,"IVANOVIC, DUSKO","PARKER, TJ",40:00,00:00,80,,21,14,2,4,29,52,69,94,0,18,31,55,73,0,REGULAR SEASON,R S ,EUROLEAGUE 2023-24,E2023     ,E2023     ,"ROCHA, FERNANDO","PATERNICO, CARMELO","PASTUSIAK, PIOTR"
False,1,05/10/2023,20:30 ,PALAU BLAUGRANA,5577,FC BARCELONA,ANADOLU EFES ISTANBUL,BAR,BAR,IST,EFS,BAR       ,IST       ,91,74,"GRIMAU, ROGER","CAN, ERDEM",40:00,00:00,80,,15,15,2,4,22,40,69,91,0,19,34,64,74,0,REGULAR SEASON,R S ,EUROLEAGUE 2023-24,E2023     ,E2023     ,"RADOVIC, SRETEN","DIFALLAH, MEHDI","JOVCIC, MILIVOJE"
False,1,05/10/2023,20:30 ,BMW PARK,6057,FC BAYERN MUNICH,ALBA BERLIN,MUN,BAY,BER,BER,MUN       ,BER       ,80,68,"LASO, PABLO","GONZALEZ, ISRAEL",40:00,00:00,80,,21,17,2,3,19,36,61,80,0,17,44,51,68,0,REGULAR SEASON,R S ,EUROLEAGUE 2023-24,E2023     ,E2023     ,"GARCIA, JUAN CARLOS","LATISEVS, OLEGS","SUKYS, ARTURAS"
False,1,05/10/2023,20:05 ,MENORA MIVTACHIM ARENA,10559,MACCABI PLAYTIKA TEL AVIV,PARTIZAN MOZZART BET BELGRADE,TEL,MTA,PAR,PAR,TEL       ,PAR       ,96,81,"KATTASH, ODED","OBRADOVIC, ZELJKO",40:00,00:00,80,,19,18,2,5,27,55,74,96,0,16,43,58,81,0,REGULAR SEASON,R S ,EUROLEAGUE 2023-24,E2023     ,E2023     ,"PEREZ, MIGUEL ANGEL","VILIUS, GYTIS","KARDUM, LUKA"
False,1,05/10/2023,20:30 ,PALADOZZA,4827,VIRTUS SEGAFREDO BOLOGNA,ZALGIRIS KAUNAS,VIR,VIR,ZAL,ZAL,VIR       ,ZAL       ,79,82,"BANCHI, LUCA","MAKSVYTIS, KAZYS",40:00,00:00,80,,18,19,5,5,23,42,65,79,0,15,37,58,82,0,REGULAR SEASON,R S ,EUROLEAGUE 2023-24,E2023     ,E2023     ,"BOLTAUZER, MATEJ","PANTHER, ANNE","SILVA, SERGIO"
False,1,06/10/2023,19:45 ,ULKER SPORTS AND EVENT HALL,10211,FENERBAHCE BEKO ISTANBUL,EA7 EMPORIO ARMANI MILAN,ULK,FBB,MIL,EA7,ULK       ,MIL       ,85,82,"ITOUDIS, DIMITRIS","MESSINA, ETTORE",45:00,00:00,90,,23,16,4,5,19,38,62,76,85,23,35,54,76,82,REGULAR SEASON,R S ,EUROLEAGUE 2023-24,E2023     ,E2023     ,"PUKL,SASA","PERUGA, CARLOS","NIKOLIC, UROS"
False,1,06/10/2023,20:15 ,OAKA Altion,17810,PANATHINAIKOS ATHENS,OLYMPIACOS PIRAEUS,PAN,PAO,OLY,OLY,PAN       ,OLY       ,78,88,"ATAMAN, ERGIN","BARTZOKAS, GEORGIOS",45:00,00:00,90,,17,20,4,4,22,43,59,74,78,23,36,52,74,88,REGULAR SEASON,R S ,EUROLEAGUE 2023-24,E2023     ,E2023     ,"LOTTERMOSER, ROBERT","PEREZ, EMILIO","NEDOVIC, MILAN"
False,1,06/10/2023,20:30 ,BUESA ARENA,14017,BASKONIA VITORIA-GASTEIZ,REAL MADRID,BAS,BKN,MAD,RMB,BAS       ,MAD       ,77,79,"PENARROYA, JOAN","MATEO, CHUS",40:00,00:00,80,,15,23,4,4,23,47,67,77,0,19,43,62,79,0,REGULAR SEASON,R S ,EUROLEAGUE 2023-24,E2023     ,E2023     ,"BELOSEVIC, ILIJA","MOGULKOC, EMIN","RACYS, SAULIUS"
False,1,06/10/2023,20:30 ,PABELLON FUENTE DE SAN LUIS,6927,VALENCIA BASKET,AS MONACO,PAM,VBC,MCO,ASM,PAM       ,MCO       ,70,65,"MUMBRU, ALEX","OBRADOVIC, SASA",40:00,00:00,80,,22,20,4,5,17,39,53,70,0,20,38,51,65,0,REGULAR SEASON,R S ,EUROLEAGUE 2023-24,E2023     ,E2023     ,"JAVOR, DAMIR","HORDOV, TOMISLAV","PEERANDI, RAIN"
False,2,12/10/2023,20:00 ,MERCEDES-BENZ ARENA,7766,ALBA BERLIN,BASKONIA VITORIA-GASTEIZ,BER,BER,BAS,BKN,BER       ,BAS       ,86,91,"GONZALEZ, ISRAEL","PENARROYA, JOAN",40:00,00:00,80,,19,17,5,4,21,47,61,86,0,25,51,76,91,0,REGULAR SEASON,R S ,EUROLEAGUE 2023-24,E2023     ,E2023     ,"ROCHA, FERNANDO","KOLJENSIC, MILOS","TRAWICKI, TOMASZ"
